Date,US - SPX,SPX,SPX resampleW ma50,SPX resampleW ma100,SPX resampleW ma200
2019-12-29,3240.02001953125,3240.02001953125,3110.8523876953127,3026.191989746094,2963.8615405273435
2020-01-05,3234.85009765625,3234.85009765625,3130.010595703125,3039.4054931640626,2972.0242919921875
2020-01-12,3265.35009765625,3265.35009765625,3153.2683984375,3057.9025927734374,2983.018192138672
2020-01-19,3329.6201171875,3329.6201171875,3177.3257958984377,3078.2387939453124,2994.26484375
2020-01-26,3295.469970703125,3295.469970703125,3195.7557958984376,3094.7928955078123,3002.8520947265624
2020-02-02,3225.52001953125,3225.52001953125,3211.3047900390625,3110.0454931640625,3011.881442871094
2020-02-09,3327.7099609375,3327.7099609375,3230.8763916015623,3125.6399951171875,3021.782993164062
2020-02-16,3380.159912109375,3380.159912109375,3254.9001904296874,3144.043193359375,3032.6067431640627
2020-02-23,3337.75,3337.75,3274.007392578125,3159.808588867188,3041.5454431152343
2020-03-01,2954.219970703125,2954.219970703125,3266.0173876953127,3167.170886230469,3047.173692626953
2020-03-08,2972.3701171875,2972.3701171875,3249.73279296875,3172.7746899414065,3051.8168432617185
2020-03-15,2711.02001953125,2711.02001953125,3197.861791992188,3159.0362915039063,3049.176092529297
2020-03-22,2304.919921875,2304.919921875,3113.8321826171878,3128.9128881835936,3039.740791015625
2020-03-29,2541.469970703125,2541.469970703125,3032.45638671875,3099.9556909179687,3029.5543408203125
2020-04-05,2488.64990234375,2488.64990234375,2954.1119775390625,3072.849287109375,3020.478291015625
2020-04-12,2789.820068359375,2789.820068359375,2909.59498046875,3057.782985839844,3015.9558911132813
2020-04-19,2874.56005859375,2874.56005859375,2863.0905859375,3042.6878881835937,3012.6926916503908
2020-04-26,2836.739990234375,2836.739990234375,2807.70638671875,3025.832990722656,3007.986142578125
2020-05-03,2830.7099609375,2830.7099609375,2758.52138671875,3014.2464892578123,3005.026541748047
2020-05-10,2929.800048828125,2929.800048828125,2730.1931884765627,3000.477587890625,3001.9705895996094
2020-05-17,2863.699951171875,2863.699951171875,2712.8857861328124,2983.8256884765624,2998.432840576172
2020-05-24,2955.449951171875,2955.449951171875,2731.4705859375,2969.8637890625,2999.714439697266
2020-05-31,3044.31005859375,3044.31005859375,2773.0205859375,2961.1855859375,3001.895339355469
2020-06-07,3193.929931640625,3193.929931640625,2846.842592773437,2953.6584887695312,3007.718640136719
2020-06-14,3041.31005859375,3041.31005859375,2903.2393896484373,2944.9930859375,3013.874090576172
2020-06-21,3097.739990234375,3097.739990234375,2951.825,2935.545788574219,3018.548441162109
2020-06-28,3009.050048828125,3009.050048828125,2980.06240234375,2926.17779296875,3020.9425939941407
2020-07-05,3130.010009765625,3130.010009765625,3003.378603515625,2916.569094238281,3022.836495361328
2020-07-12,3185.0400390625,3185.0400390625,3033.7016064453123,2906.273896484375,3027.1769946289064
2020-07-19,3224.72998046875,3224.72998046875,3068.0388134765626,2901.9576000976563,3033.068643798828
2020-07-26,3215.6298828125,3215.6298828125,3104.1418115234374,2912.892399902344,3041.3403930664062
2020-08-02,3271.1201171875,3271.1201171875,3137.5212109375,2927.676496582031,3048.5603942871094
2020-08-09,3351.280029296875,3351.280029296875,3170.876015625,2965.486201171875,3056.8242956542967
2020-08-16,3372.85009765625,3372.85009765625,3198.9702099609376,3015.7227026367186,3065.3598962402343
2020-08-23,3397.159912109375,3397.159912109375,3221.0412158203126,3056.4322021484377,3073.4856958007813
2020-08-30,3508.010009765625,3508.010009765625,3258.735615234375,3101.8027075195314,3083.0471960449217
2020-09-06,3426.9599609375,3426.9599609375,3298.912412109375,3137.3924072265627,3092.7295971679687
2020-09-13,3340.969970703125,3340.969970703125,3321.5628076171874,3159.1637060546877,3097.504747314453
2020-09-20,3319.469970703125,3319.469970703125,3342.9562060546878,3185.873605957031,3103.5272973632814
2020-09-27,3298.4599609375,3298.4599609375,3350.9300048828127,3205.72130859375,3107.1973986816406
2020-10-04,3348.419921875,3348.419921875,3361.6048046875,3228.917009277344,3111.7789990234373
2020-10-11,3477.139892578125,3477.139892578125,3380.301611328125,3255.9163110351565,3117.018299560547
2020-10-18,3483.81005859375,3483.81005859375,3399.357607421875,3281.901311035156,3123.578898925781
2020-10-25,3465.389892578125,3465.389892578125,3407.862807617188,3300.8115087890624,3128.4709985351565
2020-11-01,3269.9599609375,3269.9599609375,3402.618203125,3307.879111328125,3129.4710986328123
2020-11-08,3509.43994140625,3509.43994140625,3400.76599609375,3325.8241064453123,3132.218896484375
2020-11-15,3585.14990234375,3585.14990234375,3405.1655908203124,3348.607001953125,3139.660897216797
2020-11-22,3557.5400390625,3557.5400390625,3427.279995117188,3374.421401367188,3146.6056481933592
2020-11-29,3638.35009765625,3638.35009765625,3446.3551953125,3392.981501464844,3151.6944982910154
2020-12-06,3699.1201171875,3699.1201171875,3484.741591796875,3417.0068994140624,3159.0512487792967
2020-12-13,3663.4599609375,3663.4599609375,3518.1267919921875,3438.7381982421875,3174.0268505859376
2020-12-20,3709.409912109375,3709.409912109375,3547.944990234375,3461.8141015625,3190.302548828125
2020-12-27,3703.06005859375,3703.06005859375,3563.210795898437,3478.3819995117187,3209.9247497558595
2021-01-03,3756.070068359375,3756.070068359375,3585.477197265625,3494.000302734375,3234.5551013183594
2021-01-10,3824.679931640625,3824.679931640625,3618.6377978515625,3513.6184008789064,3269.202701416016
2021-01-17,3768.25,3768.25,3667.5164013671874,3533.576901855469,3299.808452148437
2021-01-24,3841.469970703125,3841.469970703125,3694.145805664063,3547.88080078125,3324.8417541503904
2021-01-31,3714.239990234375,3714.239990234375,3715.9480126953126,3562.556301269531,3349.974354248047
2021-02-07,3886.830078125,3886.830078125,3741.839809570312,3586.500402832032,3375.753204345703
2021-02-14,3934.830078125,3934.830078125,3769.848212890625,3614.937202148437,3402.113154296875
2021-02-21,3906.7099609375,3906.7099609375,3789.004013671875,3640.807802734375,3423.2645556640623
2021-02-28,3811.14990234375,3811.14990234375,3808.397412109375,3666.252802734375,3447.5849060058595
2021-03-07,3841.93994140625,3841.93994140625,3821.99021484375,3687.1454028320313,3471.530856933594
2021-03-14,3943.340087890625,3943.340087890625,3840.701215820312,3706.908505859375,3494.404908447266
2021-03-21,3913.10009765625,3913.10009765625,3862.1126171875,3732.007006835937,3516.4092578125
2021-03-28,3974.5400390625,3974.5400390625,3873.816616210938,3761.822607421875,3534.850859375
2021-04-04,4019.8701171875,4019.8701171875,3887.9736181640624,3784.7137109375,3553.2891589355468
2021-04-11,4128.7998046875,4128.7998046875,3914.123203125,3812.140007324219,3577.6994055175783
2021-04-18,4185.47021484375,4185.47021484375,3950.486611328125,3839.928811035156,3604.966706542969
2021-04-25,4180.169921875,4180.169921875,3976.3166015625,3867.411105957032,3630.1963037109376
2021-05-02,4181.169921875,4181.169921875,4002.7378125,3893.7234130859374,3655.36515625
2021-05-09,4232.60009765625,4232.60009765625,4033.53341796875,3919.3288159179688,3679.033507080078
2021-05-16,4173.85009765625,4173.85009765625,4063.9028271484376,3941.476320800781,3701.6452111816407
2021-05-23,4155.85986328125,4155.85986328125,4090.800830078125,3963.588022460937,3723.022961425781
2021-05-30,4204.10986328125,4204.10986328125,4115.232622070313,3987.023017578125,3744.0790100097656
2021-06-06,4229.89013671875,4229.89013671875,4138.823627929687,4003.589821777344,3760.65326171875
2021-06-13,4247.43994140625,4247.43994140625,4166.2908203125,4025.452019042969,3781.290909423828
2021-06-20,4166.4501953125,4166.4501953125,4181.5890234375,4044.0758154296873,3799.368409423828
2021-06-27,4280.7001953125,4280.7001953125,4192.925029296875,4068.152817382813,3819.701409912109
2021-07-04,4352.33984375,4352.33984375,4208.127421875,4089.519111328125,3843.210407714844
2021-07-11,4369.5498046875,4369.5498046875,4221.214404296875,4106.502707519531,3863.805054931641
2021-07-18,4327.16015625,4327.16015625,4239.169990234375,4129.557202148438,3890.536502685547
2021-07-25,4411.7900390625,4411.7900390625,4256.804384765625,4153.372004394531,3914.8251037597656
2021-08-01,4395.259765625,4395.259765625,4283.717568359375,4182.490900878906,3938.0713525390624
2021-08-08,4436.52001953125,4436.52001953125,4307.366376953125,4206.145402832031,3961.8350036621096
2021-08-15,4468.0,4468.0,4332.01318359375,4232.0109033203125,3987.306256103516
2021-08-22,4441.669921875,4441.669921875,4352.67578125,4256.737800292969,4015.531405029297
2021-08-29,4509.3701171875,4509.3701171875,4377.6073828125,4278.905400390625,4039.941204833985
2021-09-05,4535.43017578125,4535.43017578125,4407.645986328125,4299.182705078125,4063.524608154297
2021-09-12,4458.580078125,4458.580078125,4424.152978515625,4312.501401367187,4082.0304541015626
2021-09-19,4432.990234375,4432.990234375,4436.2419921875,4326.864501953125,4102.589106445313
2021-09-26,4455.47998046875,4455.47998046875,4439.3280078125,4337.653295898437,4120.50390625
2021-10-03,4357.0400390625,4357.0400390625,4443.02599609375,4346.427690429688,4137.870354003906
2021-10-10,4391.33984375,4391.33984375,4437.935791015625,4358.030883789063,4154.298303222657
2021-10-17,4471.3701171875,4471.3701171875,4436.894580078125,4369.725180664063,4171.287099609375
2021-10-24,4544.89990234375,4544.89990234375,4445.4565625,4385.983374023437,4190.794346923828
2021-10-31,4605.3798828125,4605.3798828125,4459.314365234375,4403.97017578125,4210.113796386719
2021-11-07,4697.52978515625,4697.52978515625,4477.4915625,4424.674370117187,4230.958443603516
2021-11-14,4682.85009765625,4682.85009765625,4492.369560546875,4447.318374023437,4253.000494384765
2021-11-21,4697.9599609375,4697.9599609375,4511.43916015625,4467.796069335937,4274.430291748047
2021-11-28,4594.6201171875,4594.6201171875,4527.50896484375,4480.753774414063,4289.513493652344
2021-12-05,4538.43017578125,4538.43017578125,4544.735166015625,4491.077084960937,4305.670544433594
2021-12-12,4712.02001953125,4712.02001953125,4573.5527734375,4508.393784179688,4325.847094726562
2021-12-19,4620.64013671875,4620.64013671875,4604.26658203125,4521.379287109375,4346.34699584961
2021-12-26,4725.7900390625,4725.7900390625,4627.718994140625,4531.528090820312,4361.870295410156
2022-01-02,4766.18017578125,4766.18017578125,4656.991005859375,4549.309389648438,4382.6249963378905
2022-01-09,4677.02978515625,4677.02978515625,4674.513603515625,4562.956684570312,4403.129444580078
2022-01-16,4662.85009765625,4662.85009765625,4681.011611328125,4575.137587890625,4420.802692871093
2022-01-23,4397.93994140625,4397.93994140625,4665.5316015625,4574.999482421875,4429.110541992188
2022-01-30,4431.85009765625,4431.85009765625,4635.778408203125,4567.356381835937,4435.017592773437
2022-02-06,4500.52978515625,4500.52978515625,4619.07099609375,4569.873681640625,4444.204440917969
2022-02-13,4418.64013671875,4418.64013671875,4608.749404296875,4574.03318359375,4452.035190429688
2022-02-20,4348.8701171875,4348.8701171875,4588.3837890625,4573.843579101563,4457.881086425781
2022-02-27,4384.64990234375,4384.64990234375,4558.805380859375,4572.634677734375,4460.718283691406
2022-03-06,4328.8701171875,4328.8701171875,4529.6591796875,4571.610083007812,4466.048032226562
2022-03-13,4204.31005859375,4204.31005859375,4476.07017578125,4561.6396875,4467.134782714844
2022-03-20,4463.1201171875,4463.1201171875,4432.722568359375,4551.1519921875,4470.435832519532
2022-03-27,4543.06005859375,4543.06005859375,4412.911787109375,4546.65509765625,4477.185085449219
2022-04-03,4545.85986328125,4545.85986328125,4412.33900390625,4541.808403320312,4485.640588378907
2022-04-10,4488.27978515625,4488.27978515625,4427.067802734375,4534.113603515625,4492.797536621094
2022-04-17,4392.58984375,4392.58984375,4418.384599609375,4522.684501953125,4495.240285644532
2022-04-24,4271.77978515625,4271.77978515625,4406.54919921875,4509.2225,4496.660388183594
2022-05-01,4131.93017578125,4131.93017578125,4382.634013671875,4492.097202148438,4492.745344238281
2022-05-08,4123.33984375,4123.33984375,4369.69701171875,4466.745595703125,4489.077141113281
2022-05-15,4023.889892578125,4023.889892578125,4331.028212890625,4433.547294921875,4478.2076416015625
2022-05-22,3901.360107421875,3901.360107421875,4302.720815429688,4395.282995605468,4467.134442138672
2022-05-29,4158.240234375,4158.240234375,4276.733623046875,4357.1026953125,4456.640341796875
2022-06-05,4108.5400390625,4108.5400390625,4249.26541015625,4334.850595703125,4450.253740234375
2022-06-12,3900.860107421875,3900.860107421875,4198.140810546875,4304.632104492188,4440.289445800781
2022-06-19,3674.840087890625,3674.840087890625,4117.17140625,4268.9991064453125,4420.598344726563
2022-06-26,3911.739990234375,3911.739990234375,4065.845009765625,4245.08220703125,4406.226694335937
2022-07-03,3825.330078125,3825.330078125,4005.81841796875,4210.616611328125,4390.26099609375
2022-07-10,3899.3798828125,3899.3798828125,3972.652612304688,4185.086906738281,4379.560045166016
2022-07-17,3863.159912109375,3863.159912109375,3936.5386083984376,4155.603610839844,4364.723594970703
2022-07-24,3961.6298828125,3961.6298828125,3919.04560546875,4136.708310546875,4354.812592773437
2022-07-31,4130.2900390625,4130.2900390625,3921.609809570312,4121.988012695312,4346.051247558594
2022-08-07,4145.18994140625,4145.18994140625,3942.0310009765626,4117.754008789063,4337.964248046875
2022-08-14,4280.14990234375,4280.14990234375,3952.671005859375,4107.793110351562,4328.904501953125
2022-08-21,4228.47998046875,4228.47998046875,3966.778212890625,4095.613212890625,4320.858505859375
2022-08-28,4057.659912109375,4057.659912109375,3996.188017578125,4073.326311035156,4307.054307861328
2022-09-04,3924.260009765625,3924.260009765625,4020.2052197265625,4047.882216796875,4289.556059570313
2022-09-11,4067.360107421875,4067.360107421875,4030.3926171875,4031.21501953125,4275.493510742188
2022-09-18,3873.330078125,3873.330078125,4041.872421875,4010.020720214844,4258.26721069336
2022-09-25,3693.22998046875,3693.22998046875,4038.516420898437,3990.6507153320313,4238.7171081542965
2022-10-02,3585.6201171875,3585.6201171875,4011.67462890625,3965.754318847656,4213.035708007813
2022-10-09,3639.659912109375,3639.659912109375,3985.49982421875,3953.140417480469,4190.137756347656
2022-10-16,3583.070068359375,3583.070068359375,3933.180229492188,3935.568515625,4161.329205322266
2022-10-23,3752.75,3752.75,3886.908017578125,3918.0003125,4134.709353027344
2022-10-30,3901.06005859375,3901.06005859375,3842.010815429688,3903.267414550781,4113.272457275391
2022-11-06,3770.550048828125,3770.550048828125,3804.873208007813,3897.853913574219,4093.5911096191408
2022-11-13,3992.929931640625,3992.929931640625,3791.603212890625,3904.618916015625,4081.05021118164
2022-11-20,3965.340087890625,3965.340087890625,3790.2794140625,3910.336015625,4067.344763183594
2022-11-27,4026.1201171875,4026.1201171875,3792.608212890625,3917.5332177734376,4056.913663330078
2022-12-04,4071.699951171875,4071.699951171875,3812.065815429688,3926.2626171875,4046.311064453125
2022-12-11,3934.3798828125,3934.3798828125,3840.402612304688,3930.171918945312,4037.430164794922
2022-12-18,3852.360107421875,3852.360107421875,3863.819814453125,3928.98751953125,4027.123966064453
2022-12-25,3844.820068359375,3844.820068359375,3885.76181640625,3915.159721679688,4016.858315429688
2023-01-01,3839.5,3839.5,3898.2636181640623,3902.575620117188,4008.375915527344
2023-01-08,3895.080078125,3895.080078125,3904.369814453125,3886.430517578125,3996.0394653320313
2023-01-15,3999.090087890625,3999.090087890625,3914.293212890625,3871.7681127929686,3981.2226135253904
2023-01-22,3972.610107421875,3972.610107421875,3928.980419921875,3864.418215332031,3968.8722631835935
2023-01-29,4070.56005859375,4070.56005859375,3942.99521484375,3867.629113769531,3957.755665283203
2023-02-05,4136.47998046875,4136.47998046875,3957.3444091796873,3872.207209472656,3949.952115478516
2023-02-12,4090.4599609375,4090.4599609375,3969.071806640625,3882.323508300781,3944.7955627441406
2023-02-19,4079.090087890625,4079.090087890625,3977.5126025390623,3900.707509765625,3943.076912841797
2023-02-26,3970.0400390625,3970.0400390625,3980.4802099609374,3914.490810546875,3940.1225646972657
2023-03-05,4045.639892578125,4045.639892578125,3987.480805664063,3927.430310058594,3940.285363769531
2023-03-12,3861.590087890625,3861.590087890625,3999.684609375,3945.185012207032,3940.376763916016
2023-03-19,3916.639892578125,3916.639892578125,4007.58041015625,3955.5078125,3936.7540625
2023-03-26,3970.989990234375,3970.989990234375,4014.120205078125,3961.664909667969,3932.466162109375
2023-04-02,4109.31005859375,4109.31005859375,4020.83640625,3973.2503125,3935.552113037109
2023-04-09,4105.02001953125,4105.02001953125,4028.734799804688,3984.056906738281,3943.172711181641
2023-04-16,4137.64013671875,4137.64013671875,4033.7206005859375,3991.522907714844,3950.196911621094
2023-04-23,4133.52001953125,4133.52001953125,4034.017407226562,3999.0407055664064,3958.2869616699218
2023-04-30,4169.47998046875,4169.47998046875,4033.547607421875,4003.236105957031,3964.7493615722656
2023-05-07,4136.25,4136.25,4041.656806640625,4011.2737084960936,3970.722813720703
2023-05-14,4124.080078125,4124.080078125,4057.546015625,4020.233610839844,3974.610565185547
