Date,US - SPX,SPX,SPX resampleM ma50,SPX resampleM ma100,SPX resampleM ma200
1995-09-30,584.4099731445312,584.4099731445312,567.1601965332031,553.3407983398438,519.7172492980957
1995-10-31,581.5,581.5,577.5115979003906,565.4158978271485,533.1177998352051
1995-11-30,605.3699951171875,605.3699951171875,588.192998046875,575.9586981201172,545.880849609375
1995-12-31,615.9299926757812,615.9299926757812,601.0189990234375,587.0008984375,558.68169921875
1996-01-31,636.02001953125,636.02001953125,612.4980017089844,598.6820001220703,570.9775494384766
1996-02-29,640.4299926757812,640.4299926757812,628.1454040527344,612.1923022460937,584.1687503051758
1996-03-31,645.5,645.5,643.3286022949219,625.4128015136719,596.4765997314453
1996-04-30,654.1699829101562,654.1699829101562,647.3753979492187,635.201801147461,606.6503494262695
1996-05-31,669.1199951171875,669.1199951171875,653.6773974609375,645.299800415039,617.9194497680664
1996-06-30,670.6300048828125,670.6300048828125,662.5283972167969,655.2502978515626,628.2124493408203
1996-07-31,639.9500122070312,639.9500122070312,658.5239965820313,653.7567974853515,634.9952496337891
1996-08-31,651.989990234375,651.989990234375,655.1260021972656,657.1557995605468,643.289800415039
1996-09-30,687.3300170898438,687.3300170898438,662.7440026855469,662.9988989257813,649.8647003173828
1996-10-31,705.27001953125,705.27001953125,685.4676013183594,670.4158001708985,660.2693002319336
1996-11-30,757.02001953125,757.02001953125,713.0238037109375,684.5045025634765,670.1346499633789
1996-12-31,740.739990234375,740.739990234375,733.0688000488282,705.6994012451172,680.2843991088868
1997-01-31,786.1599731445312,786.1599731445312,754.5087976074219,728.6654998779297,693.4227496337891
1997-02-28,790.8200073242188,790.8200073242188,775.1478002929688,750.0048999023437,707.4549499511719
1997-03-31,757.1199951171875,757.1199951171875,791.1036022949219,767.8029010009766,719.47705078125
1997-04-30,801.3400268554688,801.3400268554688,781.609404296875,772.8951007080078,730.9212518310546
1997-05-31,848.280029296875,848.280029296875,795.3910034179687,791.8460021972656,750.4517019653321
1997-06-30,885.1400146484375,885.1400146484375,842.2090014648437,813.6149029541016,772.8167013549805
1997-07-31,954.3099975585938,954.3099975585938,893.396201171875,840.975101928711,798.523351135254
1997-08-31,899.469970703125,899.469970703125,921.1539990234374,872.3546008300781,821.1640505981445
1997-09-30,947.280029296875,947.280029296875,933.8985974121092,905.079400024414,841.3365505981445
1997-10-31,914.6199951171876,914.6199951171876,940.5547973632812,929.639799194336,864.377350769043
1997-11-30,955.4000244140624,955.4000244140624,946.0464001464844,937.8218994140624,879.1741510009765
1997-12-31,970.4299926757812,970.4299926757812,947.6198022460936,943.5336004638672,896.8101510620118
1998-01-31,980.280029296875,980.280029296875,960.972802734375,951.8639013671876,916.5522009277344
1998-02-28,1049.3399658203125,1049.3399658203125,984.211004638672,967.2564025878906,938.0945513916016
1998-03-31,1101.75,1101.75,1037.611005859375,995.4033044433594,963.036651611328
1998-04-30,1111.75,1111.75,1086.3686059570311,1030.4033044433593,985.2212017822266
1998-05-31,1090.8199462890625,1090.8199462890625,1108.1616040039062,1059.808403930664,1002.1139019775392
1998-06-30,1133.8399658203125,1133.8399658203125,1108.312395019531,1090.3263000488282,1022.7379006958008
1998-07-31,1120.6700439453125,1120.6700439453125,1128.5809912109376,1116.8958984375,1044.8197503662109
1998-08-31,957.280029296875,957.280029296875,1118.042395019531,1112.373195800781,1059.5095999145508
1998-09-30,1017.010009765625,1017.010009765625,1062.228797607422,1093.3130950927734,1066.0917498779295
1998-10-31,1098.6700439453125,1098.6700439453125,1030.4242028808594,1077.2204986572265,1074.553000793457
