Date,US - SPX,Magnificent 7,Ex Magnificent 7
2025-01-19,119.79975041474795,153.61083307779984,113.41305430991528
2025-01-26,121.88902459925745,155.8397023854294,115.5214643484646
2025-02-02,120.6761666959472,154.53248939777023,115.2429654105368
2025-02-09,120.3856992508443,150.24612215851562,115.81779561010146
2025-02-16,122.15651958799411,153.3225334266754,116.69105499173942
2025-02-23,120.12877842036708,147.95112270815375,114.9655154328272
2025-03-02,118.95748554320397,141.00138277376317,115.32216190700967
2025-03-09,115.27559095058855,134.63368066604568,112.02632890147639
2025-03-16,112.6533070045897,131.05455302850598,109.52823014187187
2025-03-23,113.22507242176611,130.21505314132645,110.65061757532844
2025-03-30,111.49459776594568,127.09982006584089,109.45794980725356
2025-04-06,101.36868041625895,114.25240538992485,99.97325151443631
2025-04-13,107.14783834062973,123.91139833720011,104.42923452128076
2025-04-20,105.5364400223306,117.38829328689373,104.56507486953556
2025-04-27,110.38123839976308,128.14910813985108,108.03031495030551
2025-05-04,113.60684440682142,132.64919781764746,110.95271811816536
2025-05-11,113.07224461968977,132.0561672288404,110.61023260692838
2025-05-18,119.0349968545781,144.34989383306046,114.92617942464531
2025-05-25,115.92725759498184,140.83562349211124,112.06042010856739
2025-06-01,118.10223708804068,144.30679063416667,113.91340833398893
2025-06-08,119.87366222022011,145.6442626460157,115.45013505362809
2025-06-15,119.40638977654483,146.53710635786646,114.81026932053602
2025-06-22,119.22398554656937,145.97653334567607,114.5600923084992
2025-06-29,123.32401786408442,153.4715721385551,117.61886030472293
2025-07-06,125.4472581178369,154.20849219803173,119.9155587024362
2025-07-13,125.05569235520548,155.1600025456923,118.80208743083418
2025-07-20,125.79566882867883,157.86595772993678,118.99929195185273
2025-07-27,127.63062670324182,159.42311141453706,120.84913329661973
2025-08-03,124.62137148588481,156.97965181872357,117.44735530904991
2025-08-10,127.64680984766285,165.4951082208504,118.74754149948863
2025-08-17,128.85245898441062,166.99052886757195,119.98898591770906
2025-08-24,129.19428523323677,165.29428781365533,121.19266776807487
2025-08-31,129.06142542189573,165.0747797108325,121.07361078331103
2025-09-07,129.4857574184695,168.66241227486535,121.05840086014736
2025-09-14,131.5392706581643,174.0581227833674,122.64075734927754
2025-09-21,133.1388852281448,180.26538842057153,123.397057666588
2025-09-28,132.7261516394774,178.9817230865362,122.99425694280546
2025-10-05,134.1663441906072,178.80896315110422,124.39409435397164
2025-10-12,130.90437244370457,173.946228036172,121.5792096084756
2025-10-19,133.1318910662702,178.59714998177515,123.42800199302442
2025-10-26,135.68265312263966,182.72510573301474,125.3816903993916
2025-11-02,136.65177862902135,188.7612892774284,124.45650748695354
2025-11-09,134.42624997719827,182.7008637996772,123.36821126058793
2025-11-16,134.53233297634168,180.51775909651067,123.41698791073348
2025-11-23,131.91285840080295,177.0169114966935,121.27081530432957
2025-11-30,136.82937376303565,186.5765645882632,125.76508535913776
2025-12-07,137.2551006900809,189.18665131537077,125.88047098313795
2025-12-14,136.3962624837742,185.67261240099285,125.9554716387381
2025-12-21,136.53790157780293,188.47842815072812,125.44829937324626
2025-12-28,138.44457643716615,190.7838996534387,126.97453649070358
2026-01-04,137.01677242938456,186.06754184481693,126.19201216793851
2026-01-11,139.17056458689038,188.8704069057689,128.552697138961
2026-01-18,138.64574882257625,184.95056149871849,128.84011223874333
2026-01-25,138.15829378347772,186.97942039215235,127.87034851703247
