Date,US - SPX,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Technology,Communication Services,Utilities,Real Estate,Energy
2024-04-21,98.81868924727453,107.00024055809476,103.0098332620778,94.36353529738743,101.81917658323074,96.48635511422818,103.32650972364381,92.63375673595074,100.37893141341416,108.56147336983575,93.41317365269462,113.99591885728005
2024-04-28,101.45923593935673,107.67380322347846,104.88242838820008,97.78210116731518,103.39214881685133,97.18769529893758,104.45240532241556,96.14607390300232,101.18731842869772,109.82246557159448,94.92319708409269,114.92017764974192
2024-05-05,102.01289096494952,107.68583112821746,104.97648567764001,98.89382990550305,103.78881138011215,97.79182001249914,103.76151484135107,97.45477290223249,101.31362889983579,113.50589016094241,96.38115074199429,111.11511223142479
2024-05-12,103.9006471127244,110.4642771229252,107.46472851646003,98.9994441356309,106.1687867596772,99.7083535865565,107.03684749232345,98.89337952270976,103.3093343438171,118.25120292019244,98.43790679510546,112.6275357099988
2024-05-19,105.5039114587143,110.83714216983402,107.16545532278752,99.33296275708726,106.97578990562167,101.59711131171447,108.72569089048108,101.91493456505003,104.34508020714917,120.02654720424755,100.91122103618851,113.98391549633897
2024-05-26,105.53276182410856,109.88693769545345,106.4215476699444,97.57643135075041,105.45752974969224,100.28470245121865,106.47389969293756,103.53637413394918,104.77453580901856,118.63281898125102,97.2403020046863,109.67470891849717
2024-06-02,104.99143377282056,110.09141207601635,105.60923471569046,97.81545302946081,105.78580221583915,99.78473717102979,106.55066530194472,101.11624326404926,105.16609826954655,120.65704330512692,99.06274407706327,111.8713239707118
2024-06-09,106.37368683482057,107.99855665143131,104.6002565198803,98.75486381322956,106.22349883736834,101.68043885841263,106.14124872057317,103.73364126250961,106.60603764052041,116.04446656711464,98.85446498307732,108.01824510863041
2024-06-16,108.0569259479118,107.02429636757277,103.59127832407012,99.12729294052252,105.25235945835043,101.29852093604612,104.01740020470828,109.54099307159353,106.26499936844765,116.04446656711464,100.31241864097893,105.67758972512304
2024-06-23,108.71383031147613,107.81813808034639,105.14749893116718,101.50639244024458,106.23717685679115,101.94430942295676,105.75742067553735,109.8970361816782,107.2881141846659,115.13190642110503,100.18224420723769,107.73016444604488
2024-06-30,108.63146591815025,106.21842675006015,104.20692603676784,101.38966092273485,104.7462727397073,101.20824942712312,105.1944728761515,108.84815242494226,108.19754957685991,113.05790608926496,100.0,109.41063497779379
2024-07-07,110.75436711477987,105.72528265576138,103.65113296280461,105.22512506948306,105.84051429353029,100.27775848899383,106.29477993858751,112.04772902232487,110.85006947075912,113.7381781981085,99.71361624576933,108.1502820789821
2024-07-14,111.71247123584571,108.85253788789993,106.18212911500642,106.44246803779878,105.9362604294898,102.9581279077842,108.44421699078815,112.49037721324096,109.0185676392573,118.23461091753775,104.11351210622234,108.65442323850678
2024-07-21,109.51715270789822,108.38344960307916,106.77212483967509,104.39688715953308,106.81165367254822,102.68036941879038,109.64687819856704,106.26924557351809,107.50284198560061,116.35971461755432,105.46732621713095,110.87504501260352
2024-07-28,108.60401435835088,109.85085398123647,107.99486960239417,101.50639244024458,107.35877444945972,104.13165752378308,111.07983623336746,104.06081601231716,105.721864342554,118.08528289364526,106.04009372559229,110.65898451566439
2024-08-04,106.36512886447973,108.29925426990619,104.94228302693458,97.92106725958865,108.41198194501438,104.75661412401918,107.62538382804505,98.49884526558891,107.03549324238979,123.14584370333499,108.98203592814373,106.10971071900133
2024-08-11,106.31738490962697,106.51912436853502,106.26763574176998,96.90939410783768,108.26152373136371,104.14554544823275,108.49539406345956,98.93668206312547,107.62915245673865,122.13373154139704,108.85186149440251,107.32205017404873
2024-08-18,110.49693831568459,108.93673322107288,108.56776400171013,101.79544191217343,110.12173437286282,106.15235053121313,112.00102354145345,106.52424942263279,108.95541240368827,123.51086776173884,108.98203592814373,108.59440643380145
2024-08-25,112.09562740170793,111.5347606446957,110.54296707994868,104.43023902167872,111.94091095609355,107.94389278522326,113.68986693961105,107.75596612779061,110.52166224580017,125.13688402190144,112.91330382712836,108.49837954627294
